"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | BMW | Ford | Honda | Mercedes-Benz | Subaru | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD78B7254"
"ColumnCount:",6
"RowCount:",552

"Time","All Types, BMW, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #"
"01/1975",,1624,48,,6
"02/1975",,1396,68,,4
"03/1975",,1722,72,,8
"04/1975",,1604,104,,10
"05/1975",,1936,176,,4
"06/1975",,1860,206,,8
"07/1975",,2014,212,,26
"08/1975",,2044,176,,18
"09/1975",,1964,198,,10
"10/1975",,1998,148,,18
"11/1975",,2034,132,,10
"12/1975",,1954,80,,22
"01/1976",,1528,46,,10
"02/1976",,1618,74,,6
"03/1976",,1578,108,,4
"04/1976",,1692,112,,10
"05/1976",,2002,210,,20
"06/1976",,1910,150,,10
"07/1976",,2188,230,,10
"08/1976",,2148,248,,2
"09/1976",,1974,190,,10
"10/1976",,2034,146,,16
"11/1976",,1860,122,,8
"12/1976",,1960,114,,18
"01/1977",4,1448,104,,8
"02/1977",4,1552,96,,8
"03/1977",20,1916,188,,24
"04/1977",14,1856,268,,8
"05/1977",26,1978,378,,16
"06/1977",14,2034,392,,16
"07/1977",18,2320,602,,18
"08/1977",34,2258,416,,28
"09/1977",24,2018,346,,8
"10/1977",34,2320,294,,30
"11/1977",18,2246,196,,16
"12/1977",16,2182,130,,28
"01/1978",12,1446,94,12,16
"02/1978",8,1460,116,14,2
"03/1978",12,1790,158,12,16
"04/1978",16,2006,312,12,16
"05/1978",18,1952,456,26,26
"06/1978",18,2246,510,16,30
"07/1978",16,2276,566,22,34
"08/1978",24,2290,548,18,22
"09/1978",20,2358,458,18,12
"10/1978",32,2424,310,20,24
"11/1978",18,2304,228,36,36
"12/1978",16,2324,202,22,28
"01/1979",8,1590,122,22,36
"02/1979",12,1704,122,16,14
"03/1979",12,1958,264,18,32
"04/1979",18,1898,350,16,22
"05/1979",18,1980,478,20,34
"06/1979",32,2038,524,16,26
"07/1979",24,2090,516,22,44
"08/1979",24,2248,542,28,16
"09/1979",26,2252,430,26,38
"10/1979",18,2182,276,22,32
"11/1979",12,2168,198,26,24
"12/1979",34,2340,220,24,34
"01/1980",16,1794,128,32,32
"02/1980",6,1560,166,16,32
"03/1980",20,1768,218,16,48
"04/1980",10,1806,344,24,50
"05/1980",30,2042,522,28,30
"06/1980",38,2168,536,34,52
"07/1980",30,2074,580,24,32
"08/1980",42,2246,590,38,42
"09/1980",32,2004,458,26,24
"10/1980",22,2050,286,34,36
"11/1980",20,2050,228,20,64
"12/1980",20,2040,172,26,56
"01/1981",30,1756,158,22,42
"02/1981",30,1672,208,12,38
"03/1981",14,1786,278,10,38
"04/1981",14,1772,346,24,32
"05/1981",12,1908,382,40,54
"06/1981",38,1860,442,16,36
"07/1981",36,1998,570,12,56
"08/1981",28,2190,592,30,58
"09/1981",24,2006,482,18,84
"10/1981",22,2008,298,28,48
"11/1981",16,1928,240,18,44
"12/1981",22,1974,200,36,40
"01/1982",14,1412,156,16,52
"02/1982",18,1254,194,10,38
"03/1982",24,1550,244,14,30
"04/1982",28,1562,294,16,36
"05/1982",20,1612,478,22,40
"06/1982",30,1690,410,28,46
"07/1982",46,1798,474,22,54
"08/1982",24,1888,498,18,44
"09/1982",34,1702,390,24,40
"10/1982",26,1868,306,10,50
"11/1982",18,1592,198,30,46
"12/1982",28,1728,218,22,68
"01/1983",16,1436,198,18,62
"02/1983",18,1308,172,16,38
"03/1983",30,1514,196,36,40
"04/1983",24,1530,312,20,40
"05/1983",24,1614,410,26,38
"06/1983",28,1688,426,26,60
"07/1983",32,1816,562,34,52
"08/1983",22,1804,550,20,64
"09/1983",26,1730,464,28,40
"10/1983",18,1704,368,32,46
"11/1983",16,1742,230,30,50
"12/1983",12,1598,238,20,54
"01/1984",14,1450,206,20,50
"02/1984",18,1292,234,14,48
"03/1984",22,1510,300,26,66
"04/1984",22,1456,308,32,44
"05/1984",30,1790,500,30,44
"06/1984",28,1818,558,30,58
"07/1984",28,1874,568,28,52
"08/1984",26,1768,638,14,66
"09/1984",34,1784,578,12,56
"10/1984",24,1810,398,30,48
"11/1984",30,1888,268,10,82
"12/1984",10,1780,360,18,70
"01/1985",20,1438,176,24,50
"02/1985",24,1334,220,16,52
"03/1985",18,1398,374,28,46
"04/1985",32,1574,494,18,56
"05/1985",26,1762,590,22,78
"06/1985",32,1762,622,32,88
"07/1985",28,1700,692,34,64
"08/1985",38,1892,590,30,60
"09/1985",22,1882,488,24,52
"10/1985",44,1824,428,30,48
"11/1985",28,1864,308,16,46
"12/1985",24,1754,238,20,70
"01/1986",22,1444,226,20,40
"02/1986",20,1306,218,26,24
"03/1986",16,1566,356,20,50
"04/1986",34,1646,406,42,58
"05/1986",42,1900,540,26,36
"06/1986",28,1944,602,26,64
"07/1986",38,1906,704,22,92
"08/1986",20,2050,636,34,60
"09/1986",34,1748,488,18,56
"10/1986",32,1908,386,42,56
"11/1986",34,1786,384,20,86
"12/1986",20,1810,314,26,60
"01/1987",34,1474,238,32,46
"02/1987",20,1420,244,28,66
"03/1987",20,1470,338,26,52
"04/1987",32,1520,412,32,36
"05/1987",40,1774,584,32,50
"06/1987",36,1822,574,28,80
"07/1987",26,1932,612,40,64
"08/1987",42,2168,596,28,78
"09/1987",48,1912,514,26,72
"10/1987",38,2120,486,20,76
"11/1987",46,1988,350,48,90
"12/1987",28,1960,338,28,64
"01/1988",28,1544,214,36,76
"02/1988",34,1378,274,22,46
"03/1988",42,1740,348,34,38
"04/1988",38,1734,428,36,78
"05/1988",38,1928,510,28,48
"06/1988",48,1984,542,38,64
"07/1988",40,2062,524,48,74
"08/1988",52,1950,600,42,82
"09/1988",34,2004,506,18,68
"10/1988",34,2176,436,44,82
"11/1988",40,1918,342,44,80
"12/1988",50,1984,308,44,80
"01/1989",26,1622,288,18,76
"02/1989",20,1446,238,32,34
"03/1989",28,1640,358,24,54
"04/1989",40,1784,402,22,70
"05/1989",50,1824,490,16,52
"06/1989",40,1844,446,28,72
"07/1989",48,1914,576,34,72
"08/1989",26,1946,500,38,92
